"id","vote_code","name","active","created_by","created_timestamp","updated_by","updated_timestamp","district_id"
"49d89bbd-7c20-48a4-a350-79583b62ec08","592","KIRYANDONGO DISTRICT",True,"admin","2022-08-10 21:00:25.815342+03","admin","2022-08-10 21:00:25.815342+03","5b9962dc-fda0-43e9-9975-0bc8bb1f8528"
"49e70f32-3298-4301-9464-83de6cc33d8f","796","SHEEMA MUNICIPAL COUNCIL",True,"admin","2022-08-10 11:26:58.64408+03","admin","2022-08-10 11:26:58.64408+03","5b86a9cc-7610-425f-a6d2-e5b888662782"
"4ab95856-b6fb-4b9b-8906-6f858d025364","582","BUIKWE DISTRICT",True,"admin","2022-08-10 11:27:43.056665+03","admin","2022-08-10 11:27:43.056665+03","a9c8d61f-b249-463f-bb28-4dbdf85cda13"
"4b233fb2-b323-42d7-8fce-84ead0e0fc35","758","LIRA CITY",True,"admin","2022-08-11 04:33:36.979049+03","admin","2022-08-11 04:33:36.979049+03","06409176-5be7-4a7a-8376-635def90bc80"
"50151d63-b79d-4539-895b-9fad60172a08","573","ABIM DISTRICT",True,"admin","2022-08-11 04:08:47.930751+03","admin","2022-08-11 04:08:47.930751+03","e0492bfe-5bf9-4726-9240-fcff70402404"
"507be0f4-ec85-4f5f-b384-6d05c30bf66e","563","KOBOKO DISTRICT",True,"admin","2022-08-11 05:17:54.935921+03","admin","2022-08-11 05:17:54.935921+03","e1bac43d-6e03-4b76-b699-f3972359abe7"
"5101772c-4145-4e5a-9a04-cd345f7e1b9c","635","KALAKI DISTRICT",True,"admin","2022-08-11 04:45:21.690031+03","admin","2022-08-11 04:45:21.690031+03","c00488f0-e891-4392-8cb3-6a32fe4fa903"
"549199a6-f39a-43cd-8993-af264f9c3e91","556","YUMBE DISTRICT",True,"admin","2022-08-11 05:24:59.804398+03","admin","2022-08-11 05:24:59.804398+03","fa9b4708-597e-46fa-bd39-01a19e0e5330"
"549e8131-0273-44d2-a0b9-2c3c69cfdc64","513","KABAROLE DISTRICT",True,"admin","2022-08-11 05:10:14.75275+03","admin","2022-08-11 05:10:14.75275+03","d7397f80-1464-41b4-bd71-f681602a7c3b"
"57b380e6-b792-452c-97ee-2e7f2d97c667","609","SHEEMA DISTRICT",True,"admin","2022-08-10 11:26:06.012685+03","admin","2022-08-10 11:26:06.012685+03","5b86a9cc-7610-425f-a6d2-e5b888662782"
"5bfc1b7f-2677-4c78-acc7-fe9d81ba0b97","616","RUBANDA DISTRICT",True,"admin","2022-08-11 04:26:27.036243+03","admin","2022-08-11 04:26:27.036243+03","04fb600d-f043-43f7-a0c6-f496dea3f667"
"5c2d2ecf-36a9-468b-8ad5-684b588eec1d","XXXX","TEREGO DISTRICT",True,"admin","2022-08-11 05:24:36.414694+03","admin","2022-08-11 05:24:36.414694+03","acc2e172-b5fe-41ba-a9ac-3173a7ba194c"
"5cb3d00e-7fda-4438-b4d0-70f1a6e23630","511","JINJA DISTRICT",True,"admin","2022-08-11 03:10:11.219102+03","admin","2022-08-11 03:10:11.219102+03","279eb21e-31a6-4ff5-b490-9ded0755c819"
"5ddb9dfe-8b57-4ac1-bfc2-4d382e0087d8","598","KALUNGU DISTRICT",True,"admin","2022-08-10 12:00:07.4207+03","admin","2022-08-10 12:00:07.4207+03","a2e51c40-d18b-4eed-9f6f-099dc6b4551b"
"5e1a0675-da93-479f-bcae-86ec8cdb8c92","784","KITGUM MUNICIPAL COUNCIL",True,"admin","2022-08-10 10:58:02.659134+03","admin","2022-08-10 11:09:08.837081+03","288c88de-bad0-44bc-9e8a-554b4ac8afd9"
"5eb4a278-fab5-4e68-884f-103ca31dc0c7","588","ALEBTONG DISTRICT",True,"admin","2022-08-11 04:29:18.160761+03","admin","2022-08-11 04:29:18.160761+03","3c75e3cc-39f6-463a-bb14-6e640321db8d"
"5eff56e5-faa2-4758-b5f8-0952a10a8319","761","MBARARA CITY",True,"admin","2022-08-10 11:20:35.30865+03","admin","2022-08-10 11:20:35.30865+03","5cb6934d-182e-445a-a269-30461db05096"
"64de2372-f043-4725-a671-cb03efc3a2f0","794","NEBBI MUNICIPAL COUNCIL",True,"admin","2022-08-11 05:20:33.698818+03","admin","2022-08-11 05:20:33.698818+03","3fe132b5-e801-488d-b7d6-9bbd5a8711dc"
"654c6e14-e774-49a2-bf83-a734322ad0c7","566","MANAFWA DISTRICT",True,"admin","2022-08-11 04:04:36.228337+03","admin","2022-08-11 04:04:36.228337+03","cddbf68b-e269-40a4-b008-bbf20ce6d508"
"68404f17-69ac-460c-8c62-9abd25e1f821","632","KITAGWENDA DISTRICT",True,"admin","2022-08-11 05:14:14.678251+03","admin","2022-08-11 05:14:14.678251+03","a29de5e4-2cae-4e9b-9c26-98428dbc8649"
"6ad3e563-1f17-46e9-b90c-adc8ca67659c","554","TORORO DISTRICT",True,"admin","2022-08-10 13:38:56.73389+03","admin","2022-08-10 13:38:56.73389+03","b3fca832-d7f5-4159-8eac-baa17362dbb0"
"6c69120c-7268-4e57-a544-6633eb0eb9b7","544","NAKASONGOLA DISTRICT",True,"admin","2022-08-10 12:19:16.930602+03","admin","2022-08-10 12:19:16.930602+03","f61e43de-1e80-4db1-9462-2e6af131496e"
"6d61aea8-125a-4919-a599-37f1b6f0ba3a","596","SERERE DISTRICT",True,"admin","2022-08-11 05:06:38.322479+03","admin","2022-08-11 05:06:38.322479+03","e6bf90da-254c-4634-a1e5-007392daf3d9"
"6f09b98c-a38c-4c8e-9b2c-a529c5f989d9","526","KISORO DISTRICT",True,"admin","2022-08-11 04:25:13.055927+03","admin","2022-08-11 04:25:13.055927+03","21c6525e-95b9-4324-99cd-10185201befe"
"6fe39f2c-4275-47ce-8024-312b8570a4fc","568","MITYANA DISTRICT",True,"admin","2022-08-10 12:10:53.271452+03","admin","2022-08-10 12:10:53.271452+03","d45e24a5-db86-4c64-a7b9-50e63520da4a"
"71074ec3-83de-4850-8652-dcd205f37c9d","545","NEBBI DISTRICT",True,"admin","2022-08-11 05:20:59.191189+03","admin","2022-08-11 05:20:59.191189+03","3fe132b5-e801-488d-b7d6-9bbd5a8711dc"
"7115292e-28b3-49ee-a65c-1973c8b99a29","551","SEMBABULE DISTRICT",True,"admin","2022-08-10 12:21:05.248666+03","admin","2022-08-10 12:21:05.248666+03","3ddcc4e6-0aba-44f3-a752-aab3645485c9"
"7134d13a-1107-4062-ad09-aff47b4f8013","771","HOIMA CITY",True,"admin","2022-08-10 13:47:40.794003+03","admin","2022-08-10 13:47:40.794003+03","bcb30fe2-1803-4cc2-9c7f-93a87a1d051c"
"71826bfb-a7c8-4648-a4d2-216330938b09","569","NAKASEKE DISTRICT",True,"admin","2022-08-10 12:18:39.083128+03","admin","2022-08-10 12:18:39.083128+03","b38f2302-0b8a-46a8-962f-ffa590dd4de8"
"74d54558-0f0c-430d-91b5-6e00ab7173b1","540","MPIGI DISTRICT",True,"admin","2022-08-10 12:13:42.753342+03","admin","2022-08-10 12:13:42.753342+03","56d7263c-0956-44c3-b6f6-a51c640ac841"
"76fb37a4-cf4f-4ea4-9c8a-00c7adcfc95b","760","MBALE CITY",True,"admin","2022-08-11 04:05:56.794073+03","admin","2022-08-11 04:05:56.794073+03","94989d44-ef7d-403a-be37-6de8db9e0683"
"777c1f2a-8613-4dcd-8e62-a51c9bb0380a","600","BUKOMANSIMBI DISTRICT",True,"admin","2022-08-10 11:54:11.232397+03","admin","2022-08-10 11:54:11.232397+03","c6207869-8436-4c19-b93f-056683c0414d"
"782b08ae-7dee-4ef7-8110-13cb1a8ad6d7","534","MASINDI DISTRICT",True,"admin","2022-08-10 21:01:22.747251+03","admin","2022-08-10 21:01:22.747251+03","be96fa86-8f9d-41c9-b5a3-eaa0f2119134"
"78e57063-5e9b-42c7-8a61-280fc5ccff5d","590","BUVUMA DISTRICT",True,"admin","2022-08-10 11:55:31.993257+03","admin","2022-08-10 11:55:31.993257+03","72e1009f-1dc6-4e2d-873b-38a3cb2062e0"
"7d1b11a7-77be-463f-afba-1c23b74ad96d","503","ARUA DISTRICT",True,"admin","2022-08-11 05:16:40.697061+03","admin","2022-08-11 05:16:40.697061+03","5a652b28-74b4-4b12-8e86-e8bd9b2ea054"
"7ebb38a2-d3f6-4909-8816-b64b7fd33a1f","781","KIRA MUNICIPAL COUNCIL",True,"admin","2022-08-10 12:28:21.309368+03","admin","2022-08-10 12:28:21.309368+03","65cbe18e-7382-4eef-a958-8d28a48e1834"
"7febce08-a04f-453b-96ff-caa8562443db","783","MITYANA MUNICIPAL COUNCIL",True,"admin","2022-08-10 12:11:32.090681+03","admin","2022-08-10 12:11:32.090681+03","d45e24a5-db86-4c64-a7b9-50e63520da4a"
"802ce4b4-a6cc-4eb5-a2c4-3b1ff5a33e23","785","KOBOKO MUNICIPAL COUNCIL",True,"admin","2022-08-11 05:18:37.066383+03","admin","2022-08-11 05:18:37.066383+03","e1bac43d-6e03-4b76-b699-f3972359abe7"
"81e9c10f-04c6-4394-ad40-036cb0aa1206","772","MUKONO MUNICIPAL COUNCIL",True,"admin","2022-08-10 12:17:37.512009+03","admin","2022-08-10 12:17:37.512009+03","68781a71-e9cd-45d7-8844-bef26011e441"
"82c7de0a-3791-47d7-8b37-102cc8db8edd","524","KIBAALE DISTRICT",True,"admin","2022-08-10 20:58:41.510043+03","admin","2022-08-10 20:58:41.511038+03","ee96e3e0-d816-43e8-8917-f6b1cb84bc97"
